Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
9816058;2015;1;Barranquilla;16;Santa Marta;99;5
297826804;2015;1;Barranquilla;16;Santa Marta;99;5
441237;2015;1;Barranquilla;16;Santa Marta;99;5
297826653;2015;1;Barranquilla;16;Santa Marta;99;5
297839770;2015;1;Barranquilla;16;Santa Marta;99;5
297823689;2015;1;Barranquilla;16;Santa Marta;99;5
10400100;2015;1;Barranquilla;16;Santa Marta;99;5
412645;2015;1;Barranquilla;16;Santa Marta;99;5
10700558;2015;1;Barranquilla;16;Santa Marta;99;5
10700559;2015;1;Barranquilla;16;Santa Marta;99;5
10700560;2015;1;Barranquilla;16;Santa Marta;99;5
10700561;2015;1;Barranquilla;16;Santa Marta;99;5
378399;2015;2;Bogotá;17;Tunja;99;5
296886273;2015;2;Bogotá;17;Tunja;98;5
452209;2015;2;Bogotá;17;Tunja;99;5
297839496;2015;2;Bogotá;17;Tunja;99;5
297827967;2015;2;Bogotá;17;Tunja;99;5
452242;2015;2;Bogotá;17;Tunja;99;5
11700444;2015;2;Bogotá;17;Tunja;99;5
297826805;2015;2;Bogotá;18;Villavicencio;99;5
297718278;2015;2;Bogotá;18;Villavicencio;99;5
297826874;2015;2;Bogotá;18;Villavicencio;99;5
297826880;2015;2;Bogotá;18;Villavicencio;99;5
297823318;2015;2;Bogotá;18;Villavicencio;99;5
297717022;2015;2;Bogotá;18;Villavicencio;99;5
359228;2015;2;Bogotá;2;Bogotá;99;5
416445;2015;2;Bogotá;18;Villavicencio;99;5
297822935;2015;2;Bogotá;18;Villavicencio;99;5
452022;2015;2;Bogotá;18;Villavicencio;99;5
297827069;2015;2;Bogotá;18;Villavicencio;99;5
297825550;2015;2;Bogotá;18;Villavicencio;99;5
297837540;2015;2;Bogotá;18;Villavicencio;99;5
451473;2015;2;Bogotá;18;Villavicencio;99;5
10400102;2015;2;Bogotá;18;Villavicencio;99;5
11800585;2015;2;Bogotá;18;Villavicencio;99;5
11800617;2015;2;Bogotá;18;Villavicencio;99;5
11800625;2015;2;Bogotá;18;Villavicencio;99;5
299303288;2015;1;Barranquilla;21;Riohacha;99;5
297827496;2015;1;Barranquilla;21;Riohacha;99;5
9815982;2015;1;Barranquilla;22;San Andrés;99;5
296913989;2015;1;Barranquilla;22;San Andrés;99;5
